,track_id,popularity_track,duration_min,explicit,track_number,release_date,number_of_artists,popularity_artist_mean,followers_mean,num_of_markets,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,major,minor,album,compilation,single,Amount_words,Amount_unique_words,Diversity_coeff,Amount_adlibs,Amount_verses,Amount_chorus,Avg_words_verse,Scalared_popularity
26880,3K6U7TamNyVSWcFH8pCQHX,65,3.01,1,5,423888,2,88.0,28134876.5,180,7A,136.0,81.0,86.0,79.0,63.0,0.0,10.0,4.0,-7,0,1,1,0,0,363.0,135.0,2.688888888888889,24.0,2.0,3.0,113.0,-0.596241975484943
26881,49zD0wr2S3d0lZPib0K4e1,65,3.96,1,18,399192,1,89.0,22731489.0,185,11B,148.0,43.0,78.0,53.0,5.0,0.0,9.0,22.0,-8,1,0,1,0,0,711.0,182.0,3.9065934065934074,0.0,3.0,4.0,88.0,-0.596241975484943
26882,1jzIJcHCXneHw7ojC6LXiF,65,3.04,1,1,427248,2,84.5,20930442.0,185,10A,90.0,78.0,64.0,44.0,18.0,0.0,11.0,19.0,-6,0,1,0,0,1,580.0,319.0,1.818181818181818,1.0,3.0,0.0,181.0,-0.596241975484943
26883,0qtK3XwbuG153dmwB8iepL,65,3.75,1,13,416832,1,87.0,24503117.0,173,10A,100.0,57.0,95.0,73.0,19.0,0.0,8.0,9.0,-9,0,1,1,0,0,414.0,183.0,2.262295081967213,13.0,2.0,2.0,103.0,-0.596241975484943
26884,410ZZP746AQeiywhKvXWCo,65,3.43,1,24,466728,1,87.0,24503117.0,185,6A,173.0,72.0,72.0,89.0,24.0,0.0,29.0,26.0,-5,0,1,1,0,0,667.0,325.0,2.0523076923076924,15.0,1.0,0.0,620.0,-0.596241975484943
26885,2q0VexHJirnUPnEOhr2DxK,65,4.63,1,1,414384,3,85.0,17450060.0,185,4A,162.0,70.0,63.0,28.0,43.0,0.0,10.0,6.0,-7,0,1,0,0,1,716.0,294.0,2.435374149659864,3.0,4.0,2.0,111.0,-0.596241975484943
26886,1Bg2CNZw6S4e9cGWPmi0uI,65,1.95,1,18,446904,1,86.0,15063390.0,184,10B,126.0,79.0,68.0,61.0,10.0,0.0,9.0,4.0,-3,1,0,1,0,0,367.0,118.0,3.110169491525424,34.0,1.0,2.0,104.0,-0.596241975484943
26887,2Y98lEkMVALCXni7o2g28b,65,3.66,1,22,484536,3,86.0,15063390.0,183,8A,130.0,58.0,56.0,82.0,27.0,0.0,32.0,5.0,-5,0,1,1,0,0,769.0,230.0,3.343478260869565,12.0,3.0,4.0,134.0,-0.596241975484943
26888,1JgkiUg9mSXSwcb5Gbi4Ur,65,2.95,1,3,423888,2,80.5,8348104.0,180,4A,148.0,62.0,76.0,35.0,7.0,0.0,6.0,33.0,-9,0,1,1,0,0,619.0,118.0,5.245762711864407,79.0,2.0,3.0,69.0,-0.596241975484943
26889,23QyE9GQpXsX9WgEDADMa6,65,2.51,1,5,414480,1,86.0,15063390.0,182,4A,157.0,64.0,75.0,62.0,15.0,0.0,12.0,23.0,-7,0,1,1,0,0,602.0,172.0,3.5,57.0,2.0,3.0,124.0,-0.596241975484943
26890,475jSz0H6U3duJyNiDS0tT,65,3.45,1,7,423888,2,86.0,15063390.0,180,4B,95.0,63.0,72.0,46.0,24.0,0.0,35.0,3.0,-6,1,0,1,0,0,598.0,166.0,3.602409638554217,99.0,2.0,3.0,198.0,-0.596241975484943
26891,2D2w9943rsnJOGCrI4aMQp,65,2.48,1,4,419256,2,84.0,17787996.0,173,9B,94.0,65.0,59.0,58.0,37.0,0.0,50.0,19.0,-6,1,0,1,0,0,427.0,172.0,2.482558139534884,4.0,2.0,2.0,119.0,-0.596241975484943
26892,5NoB3TXQDvVClLnC1lXdPt,65,3.03,1,19,308280,1,83.0,18921420.0,178,9A,138.0,66.0,61.0,58.0,73.0,0.0,6.0,38.0,-6,0,1,1,0,0,528.0,210.0,2.5142857142857142,2.0,2.0,3.0,124.0,-0.596241975484943
26893,7gVwgc8b3XnO87TpmXXFA5,65,2.87,1,1,439008,2,79.0,8399277.0,185,3B,170.0,70.0,72.0,87.0,42.0,0.0,19.0,41.0,-5,1,0,0,0,1,480.0,180.0,2.6666666666666665,18.0,2.0,3.0,134.0,-0.596241975484943
26897,3Z6RaTSHc5PrpQL3DcvGW4,65,3.0,1,14,366672,1,82.0,17357767.0,185,4B,148.0,49.0,72.0,56.0,4.0,0.0,28.0,24.0,-8,1,0,1,0,0,405.0,147.0,2.7551020408163267,12.0,1.0,2.0,163.0,-0.596241975484943
26898,2f86Ae3R4OKAu1lEIqouih,65,2.46,1,1,467904,2,82.0,27104232.0,183,3B,94.0,70.0,72.0,43.0,12.0,0.0,11.0,20.0,-6,1,0,0,0,1,468.0,196.0,2.3877551020408165,0.0,1.0,2.0,326.0,-0.596241975484943
26899,1jk9c0gZI0wbn5GvAj7PBV,65,3.84,1,4,396984,1,84.0,12440028.0,184,12A,114.0,32.0,74.0,67.0,46.0,0.0,8.0,44.0,-11,0,1,1,0,0,665.0,217.0,3.064516129032258,15.0,2.0,3.0,154.0,-0.596241975484943
26900,5wwy9GjFxOFMV8IO6Xdf8h,65,3.33,1,9,482352,1,85.0,21693804.0,183,10A,85.0,51.0,51.0,41.0,21.0,0.0,12.0,44.0,-10,0,1,1,0,0,707.0,241.0,2.933609958506224,0.0,2.0,2.0,213.0,-0.596241975484943
26901,5R2rsbwCDXORX2tLfprRmM,65,2.77,1,5,427752,2,80.0,26772476.0,182,9B,165.0,77.0,66.0,72.0,5.0,0.0,62.0,19.0,-4,1,0,1,0,0,461.0,238.0,1.9369747899159664,6.0,1.0,2.0,373.0,-0.596241975484943
26902,0RcYEWXtbu4ehdv1tiBOi0,65,6.37,0,1,324336,2,81.0,15736632.0,184,3A,88.0,65.0,90.0,79.0,0.0,1.0,6.0,13.0,-5,0,1,0,0,1,596.0,263.0,2.2661596958174903,30.0,2.0,3.0,160.0,-0.596241975484943
26904,1RijmOnza5p9CzaFKr8W1Y,65,5.26,1,1,416136,4,83.0,17873314.0,185,9A,130.0,71.0,77.0,59.0,56.0,0.0,40.0,20.0,-5,0,1,0,0,1,760.0,293.0,2.5938566552901023,35.0,4.0,0.0,86.0,-0.596241975484943
26905,4daEMLSZCgZ2Mt7gNm2SRa,65,3.21,1,1,468912,1,82.0,19279387.0,184,3B,84.0,89.0,53.0,96.0,25.0,0.0,28.0,25.0,-5,1,0,1,0,0,657.0,237.0,2.7721518987341773,22.0,2.0,2.0,136.0,-0.596241975484943
26906,7hav1MHURQf5SAoPk0egqh,65,3.5,1,1,439848,1,82.0,19279387.0,185,3A,135.0,65.0,75.0,58.0,27.0,0.0,16.0,8.0,-7,0,1,1,0,0,915.0,298.0,3.0704697986577183,34.0,2.0,3.0,238.0,-0.596241975484943
26907,59JWp4PjZ9TRM8cmtaDYB1,65,3.66,1,4,440016,2,83.0,21570874.5,185,9B,140.0,55.0,51.0,48.0,57.0,0.0,14.0,3.0,-5,1,0,1,0,0,753.0,295.0,2.552542372881356,80.0,3.0,2.0,193.0,-0.596241975484943
26908,0qZqbfudgogv0mFQOJ9TrB,65,3.75,1,20,489240,1,82.0,12189958.0,184,3A,130.0,40.0,84.0,27.0,45.0,0.0,12.0,17.0,-9,0,1,1,0,0,507.0,273.0,1.8571428571428568,3.0,2.0,2.0,185.0,-0.596241975484943
26909,6rzoDBnmTFt035KRtNRKRe,65,4.72,1,19,489240,1,82.0,12189958.0,184,10A,130.0,69.0,83.0,27.0,20.0,0.0,13.0,29.0,-7,0,1,1,0,0,681.0,236.0,2.885593220338983,0.0,2.0,3.0,122.0,-0.596241975484943
26910,3YnwIp2b99p3e5dsFTXIIx,65,3.95,1,10,425904,1,82.0,12189958.0,184,11A,140.0,70.0,70.0,73.0,5.0,0.0,41.0,6.0,-6,0,1,1,0,0,277.0,141.0,1.9645390070921984,2.0,2.0,2.0,95.0,-0.596241975484943
26912,5pfJsMwoRYKampPay8amX0,65,4.88,1,2,404568,7,74.0,2835173.0,173,3B,125.0,60.0,66.0,6.0,8.0,0.0,14.0,8.0,-7,1,0,1,0,0,709.0,329.0,2.155015197568389,5.0,5.0,2.0,104.0,-0.596241975484943
26913,4voEoczU7Ijborps9XF1n3,65,4.32,1,14,202728,2,78.0,22599602.0,170,1B,140.0,64.0,56.0,46.0,50.0,0.0,17.0,5.0,-7,1,0,1,0,0,693.0,305.0,2.272131147540984,10.0,4.0,2.0,125.0,-0.596241975484943
26914,6vBMMa2erexusV4XrgXea9,65,3.73,1,3,271752,1,78.0,22599602.0,170,3B,90.0,69.0,69.0,55.0,78.0,0.0,31.0,28.0,-11,1,0,1,0,0,671.0,297.0,2.259259259259259,3.0,3.0,3.0,138.0,-0.596241975484943
26915,0AyA2lHB4YnQUNa8Y6NNjm,65,2.58,1,1,462360,1,80.0,8300610.0,185,1B,133.0,84.0,72.0,39.0,54.0,0.0,8.0,32.0,-5,1,0,1,0,0,398.0,181.0,2.1988950276243093,15.0,2.0,0.0,184.0,-0.596241975484943
26916,7jIujRjK5JKNrMCcAvYUTN,65,5.09,1,2,221544,1,78.0,15120945.0,181,12A,105.0,78.0,67.0,50.0,17.0,0.0,16.0,7.0,-5,0,1,0,1,0,855.0,344.0,2.48546511627907,37.0,3.0,4.0,156.0,-0.596241975484943
26917,2IyL2CyHoenwQLds5jSuqK,65,3.35,0,10,333096,3,74.0,3757262.0,86,3B,150.0,67.0,80.0,35.0,16.0,0.0,13.0,24.0,-6,1,0,1,0,0,625.0,188.0,3.324468085106383,19.0,3.0,4.0,102.0,-0.596241975484943
26918,33aow0AcXYvT1FoWNzMcqN,65,3.27,1,1,452784,2,74.0,3757262.0,185,3B,136.0,77.0,84.0,58.0,15.0,0.0,9.0,13.0,-3,1,0,1,0,0,578.0,156.0,3.705128205128205,26.0,2.0,3.0,61.0,-0.596241975484943
