,id,name,album,key,mode,camelot,tempo,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness
143,ff81228ff8fac5da7fc4af0b4bf0db9a,,,C#,minor,12A,94.0,2:13,76.0,53.0,83.0,12.0,35.0,0.0,17.0,25.0,-8 dB
144,bc92df0e784d2d870bc7053ad4817469,,,B,minor,10A,101.0,3:43,80.0,75.0,89.0,87.0,6.0,0.0,9.0,6.0,-3 dB
145,7eb6aed681f9a3e52442ad888a241b5c,,,C#,minor,12A,89.0,4:07,73.0,51.0,48.0,58.0,65.0,0.0,11.0,16.0,-9 dB
146,5d2eff24e350b0ff4f3e5bce166df789,,,B,minor,10A,98.0,2:08,77.0,57.0,60.0,34.0,9.0,0.0,33.0,5.0,-8 dB
147,8bd6c436fef3646844e7395f46771fd5,,,A#,minor,3A,91.0,4:37,58.0,67.0,81.0,90.0,44.0,0.0,12.0,18.0,-6 dB
148,3d634478827eed5e5276fd164bf3795e,,,G,major,9B,81.0,3:16,76.0,60.0,73.0,79.0,55.0,0.0,91.0,8.0,-8 dB
149,f50f75457b731a6eab4d3431d634e394,,,B,minor,10A,95.0,3:58,77.0,82.0,67.0,68.0,0.0,0.0,15.0,29.0,-4 dB
150,65e41d23ab145ae865d3d05af191f787,,,C#,major,3B,92.0,4:26,78.0,63.0,89.0,66.0,19.0,0.0,10.0,22.0,-4 dB
151,cce8e4cb1948e637f809085d4cc0f836,Bad Bad Bad (feat. Lil Baby),So Much Fun,F#,major,2B,112.0,2:29,81.0,60.0,97.0,89.0,10.0,0.0,15.0,18.0,-9 dB
152,7d05d9a2d483ae333d433184f40b13fa,,,F,major,7B,97.0,4:56,74.0,60.0,78.0,92.0,7.0,0.0,11.0,3.0,-6 dB
153,f2d11f7dde3eda6c17bef89f519d0b73,,,F,minor,4A,109.0,3:23,76.0,46.0,90.0,64.0,37.0,0.0,24.0,6.0,-10 dB
154,03d684cd38b767c9f46161472fb0d052,,,Ab,major,4B,149.0,3:10,80.0,54.0,71.0,20.0,0.0,0.0,12.0,5.0,-6 dB
155,3633e1440c6eca7b429216eaaaf971bf,,,C,minor,5A,148.0,2:26,76.0,69.0,46.0,25.0,0.0,0.0,38.0,4.0,-6 dB
156,51218d62de3aee39b37823e9422bf43d,,,D,major,10B,206.0,3:08,76.0,27.0,58.0,35.0,88.0,0.0,13.0,5.0,-6 dB
157,405bad63e6250ca86a1857d7a05cafb8,,,C#,major,3B,105.0,3:23,78.0,64.0,66.0,27.0,34.0,0.0,19.0,3.0,-4 dB
158,d5c8dced5e4f93b409d327938531121c,,,D,major,10B,101.0,3:31,76.0,68.0,73.0,20.0,9.0,0.0,11.0,9.0,-5 dB
159,b72d206b1745e738b37b8e59cc95ef4d,,,G,major,9B,86.0,4:42,75.0,60.0,53.0,23.0,73.0,0.0,11.0,9.0,-6 dB
160,674a0a2c596c9cc8b8893b78986be1d7,Nonstop,Scorpion,G,major,9B,155.0,3:58,79.0,41.0,91.0,42.0,2.0,1.0,10.0,12.0,-8 dB
161,f77bb834fb8d02bd970ea2be03c05ac9,,,A#,minor,3A,140.0,4:11,76.0,66.0,73.0,55.0,5.0,0.0,7.0,23.0,-3 dB
